work,subjects_d1,subjects_d2,people_d1,people_d2,places_d1,places_d2,times_d1,times_d2
OL2348334W,-0.6290759,-5.630916,0.0,0.0,0.0,0.0,0.0,0.0
OL1680319W,-9.7531185,-4.9648886,0.0,0.0,0.0,0.0,0.0,0.0
OL76833W,-10.632356,-9.093098,-20.845818,15.302079,-0.35333943,7.6180353,0.0,0.0
OL76837W,-3.0389397,-6.7300835,-10.157245,12.628956,-2.728874,-5.323933,-22.45491,26.516127
OL76835W,-3.8079984,-6.420466,-22.455889,15.23692,1.7190597,13.158428,0.0,0.0
OL2018818W,-3.1306782,-7.8498845,0.0,0.0,-18.137177,7.5865393,0.0,0.0
OL1986060W,-10.188455,-6.5622935,0.0,0.0,0.11501314,2.302484,0.0,0.0
OL527464W,-10.253628,-6.5747256,-20.185217,15.192959,0.0,0.0,0.0,0.0
OL12283150W,-10.84287,-7.9889207,0.0,0.0,0.0,0.0,0.0,0.0
OL2703640W,-6.3829947,-5.7932196,-22.589373,14.677166,-24.741383,6.3008957,0.0,0.0
OL15828645W,-10.04248,-6.5627985,-22.387018,14.988202,0.10086816,2.3114552,0.0,0.0
OL8165007W,-10.27343,-6.672202,0.0,0.0,0.0,0.0,0.0,0.0
OL8165004W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OL1882140W,-3.75647,-7.0009313,0.0,0.0,0.0,0.0,0.0,0.0
OL16939881W,-6.620019,-4.615826,0.0,0.0,-24.763649,6.2346554,6.6483426,6.751875
OL6585123W,-7.787479,-2.8391569,0.0,0.0,0.0,0.0,0.0,0.0
OL3461219W,-7.0016017,-4.617717,0.0,0.0,-18.110926,9.48769,0.0,0.0
OL1140109W,-3.7795162,-3.8871877,0.0,0.0,10.538804,-14.0187435,-22.322315,26.392159
